data,valor
2021-06-01,96.46515
2021-07-01,99.84045
2021-08-01,99.18841
2021-09-01,97.10213
2021-10-01,96.53525
2021-11-01,97.85074
2021-12-01,99.31719
2022-01-01,91.68135
2022-02-01,95.63869
2022-03-01,104.52745
2022-04-01,100.23187
2022-05-01,99.74515
2022-06-01,99.31223
2022-07-01,103.96198
2022-08-01,104.51378
2022-09-01,101.18408
2022-10-01,100.08341
2022-11-01,99.15286
2022-12-01,99.96717
2023-01-01,95.09937
2023-02-01,98.65085
2023-03-01,110.61559
2023-04-01,104.04073
2023-05-01,102.717
2023-06-01,102.28027
2023-07-01,105.34385
2023-08-01,106.05901
2023-09-01,101.7557
2023-10-01,101.93319
2023-11-01,101.6828
2023-12-01,101.67956
2024-01-01,99.29643
2024-02-01,102.15218
2024-03-01,109.56614
2024-04-01,109.25735
2024-05-01,104.71633
2024-06-01,105.86827
2024-07-01,111.51398
2024-08-01,110.06739
2024-09-01,107.07989
2024-10-01,109.18606
2024-11-01,105.49283
2024-12-01,104.15728
2025-01-01,102.72562
2025-02-01,106.92536
2025-03-01,114.11525
2025-04-01,112.68553
2025-05-01,108.64623
2025-06-01,107.44774
2025-07-01,113.20976
2025-08-01,110.47021
2025-09-01,109.57121
2025-10-01,110.14581
2025-11-01,106.68216
2025-12-01,107.29284
2026-01-01,103.90389
2026-02-01,106.80338
2026-03-01,117.61851
